"","Ti","Yi","Di","credit.score","interest.rate","pti","veh.value","co.sign","new.used","subvent.rate","subvent.cash","veh.pick.up","veh.suv"
"92",63,49,1,0.313395329904538,-1.73400548314058,0.0954651590269392,1.3880073133897,1,1,1,0,1,0
"93",63,49,1,-0.464007542190899,1.21559244949825,1.46362468528603,-0.843382107431157,0,0,0,0,0,0
"94",63,49,1,-2.64073558405812,-1.73400548314058,-1.27030665427184,1.29011031632804,0,1,1,0,1,0
"95",63,49,1,0.489606647579504,-0.917635540727325,-0.193448109170879,-0.660310471607304,0,0,0,0,0,1
"96",63,49,1,-0.370719197539447,-1.73400548314058,0.0405477609397505,0.859952234472623,1,1,1,0,0,1
"97",63,49,1,0.458510532695686,-0.302281312777639,-0.441770257043384,0.0254555748335941,0,1,0,1,0,1
"98",62,49,1,-0.671314974749682,2.73346621177414,1.48988952784947,-1.78638955671879,0,0,0,0,0,0
"99",64,49,1,-0.660949603121743,3.00011971055234,1.7811905090076,-2.07387334710921,0,0,0,0,0,1
"100",64,50,1,-1.27250652917015,-0.527911196359191,-1.27030665427184,0.550991934245964,0,1,0,1,1,0
"101",53,49,1,0.873125397813253,-1.73400548314058,-0.355812590472132,0.366337832159317,0,1,1,0,1,0
"102",64,50,1,-0.277430852887994,-0.134084490471392,-0.907374284304331,-0.0247550708001716,1,1,0,1,1,0
"103",63,49,1,0.531068134091261,-0.544320642437849,-0.520564784733698,0.66143817771471,1,1,0,1,1,0
"104",57,49,1,0.375587559672173,-1.73400548314058,0.0930774460666266,0.716250443706443,1,1,1,0,0,1
